lsm,enb_PCI,900M_max_prb,1.8G_max_prb,1.8H_max_prb,1.8E_max_prb,2.1E_max_prb,2.1G_max_prb,fa,900M_rrc_rate,1.8G_rrc_rate,1.8H_rrc_rate,1.8E_rrc_rate,2.1E_rrc_rate,2.1G_rrc_rate,type_MCMC,ru,RS_POWER,count
LSM5,SEC0005861_81,73.7,81.3,65.8,0.0,64.6,0.0,4,11%,34%,37%,0%,18%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM5,SEC0005862_73,71.6,43.2,36.6,0.0,39.9,0.0,4,20%,24%,37%,0%,19%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM5,SEC0005865_388,74.0,55.3,33.7,0.0,32.9,0.0,4,26%,36%,23%,0%,15%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM7,SEC0005872_442,73.4,84.9,66.4,0.0,64.4,0.0,4,15%,33%,25%,0%,27%,0%,MCMC,2,ci_pwrOpt_Half,3
LSM7,SEC0005873_220,77.2,66.6,76.9,0.0,54.9,0.0,4,15%,30%,34%,0%,21%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM6,SEC0005874_291,82.4,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_OneHalf,4
LSM6,SEC0005874_300,73.4,51.9,55.7,0.0,57.3,0.0,4,18%,23%,29%,0%,30%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM4,SEC0005878_250,76.3,78.6,73.4,0.0,71.6,0.0,4,11%,35%,29%,0%,24%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM3,SEC0005882_241,70.1,55.1,53.5,0.0,50.6,0.0,4,23%,39%,19%,0%,19%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM9,SEC0005894_278,71.8,49.6,52.3,0.0,48.7,0.0,4,27%,13%,41%,0%,19%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM2,SEC0005898_228,75.6,78.0,53.6,0.0,72.2,0.0,4,14%,43%,20%,0%,22%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM2,SEC0005901_155,84.6,76.2,73.7,0.0,82.6,0.0,4,17%,35%,21%,0%,26%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM2,SEC0005901_72,96.7,92.7,93.1,0.0,90.9,0.0,4,15%,42%,28%,0%,14%,0%,MCMC,2,ci_pwrOpt_Same,7
LSM2,SEC0005903_100,71.0,52.0,54.3,0.0,53.7,0.0,4,21%,41%,22%,0%,16%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM2,SEC0005905_307,73.7,62.0,54.5,0.0,55.2,0.0,4,23%,34%,22%,0%,21%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM2,SEC0005908_290,78.4,45.8,0.0,0.0,47.4,0.0,3,20%,54%,0%,0%,27%,0%,MCMC,1,ci_pwrOpt_Same,1
