팀;액세스망제어팀;행사명;기간;예상인원;망;벤더;시스템 명;ACPF NAME;"RNC명
(RNC 번호 2자리 표시)";DU ID;SECTOR(CELL);5G/LTE 주파수;기지국ID;기지국명;서비스지역;"증설유무
(기존 OR 증설)";통합NMS 운용현황;비고;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;CCC;ELG;GURO05_ERNC03;-;3;SL7091C;1;-;RRSL03972C;광화문사거리_RU;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;CCC;ELG;GURO05_ERNC04;-;4;SL7002C;3;-;RRSL03278C;세종로공원2_북측_RU;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;CCC;ELG;GURO05_ERNC04;-;4;SL7005C;1;-;RRSL03803C;광화문우체국-DK_RU;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;CCC;ELG;GURO05_ERNC04;-;4;SL7008C;1;-;RRSL03736C;광화문우체국2_RU;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;CCC;ELG;GURO05_ERNC04;-;4;SL7009C;3;-;RRSL03927C;세종로공원_RU;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;CCC;ELG;GURO05_ERNC04;-;4;SL7108C;1;-;RRSL04019C;경통빌딩-DK_RU;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;CCC;ELG;GURO05_ERNC04;-;4;SL7196C;2;-;RRSL04200C;프리미어청계광장_RU;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;CCC;ELG;GURO05_ERNC04;-;4;SL7905C;3;-;RRSL07908C;경통빌딩2_RU;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;CCC;ELG;GURO05_ERNC04;-;4;SL7232C;1;-;RRSL03740C;프리미어플레이스_RU;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;5G;SS;HH_USM;ACPF_100000;;NS00200015;272;3.5G;NRSL00591S;명동_프리미어플레이스청계_32T_A;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;5G;SS;HH_USM;ACPF_100000;;NS00200015;272;3.5G;NRSL00590S;명동_프리미어플레이스청계_32T_B;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;5G;SS;HH_USM;ACPF_100000;;NS00200054;675;3.5G;NRSL00531S;종로1234_광화문사거리_32T_G;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;5G;SS;HH_USM;ACPF_100000;;NS00200001;98;3.5G;NRSL64608S;사직_정부종합청사본관후문_32T_A;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;5G;SS;HH_USM;ACPF_100000;;NS00200001;99;3.5G;NRSL00525S;종로1234_세종로공원북측_32T_G;광화문 광장;기존;운용;
충정엔지니어링부;강북;7일간동행축제 전야제;2022-08-31 18:00 ~ 종료시;1,000명;5G;SS;HH_USM;ACPF_100000;;NS00200002;145;3.5G;NRSL00559S;종로1234_경통빌딩삼청동길_32T_A;광화문 광장;기존;운용;
